,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
171,MarkCi .id,GRATIS ONGKIR SEBLAK INSTAN/SEBLAK BANDUNG/SEBLAK GARUT/MURAH MANTAP,Rp3.999,Kab. Garut,100+ terjual,4.4
172,pelangi khatulistiwa 2,kerupuk seblak polos pedas 1kg jajanan cemilan sneck makanan keripik,Rp39.000,Surabaya,14 terjual,5.0
173,Keva store,Comring Seblak 200gr | Pedas | Makanan Ringan | Cemilan | Snack Renyah - Seblak Pedas,Rp19.000,Depok,100+ terjual,5.0
174,CUANKI CULAMETAN,cuanki tahu panjang atau stik isi 50 pcs toping seblak baso aci,Rp12.999,Kab. Garut,100+ terjual,4.8
175,Lakoca Official Shop,Paket Isi 6 Makaroni Basah Instan | Seblak Basah Instan,Rp93.840,Cimahi,15 terjual,4.8
176,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH KEONG WARNA 200 GR,Rp5.750,Kab. Bandung,100+ terjual,4.9
177,Cemilan Kang Asep,1KG Kerupuk Seblak Kering Rafael BUNDLING 500GR ORI + 500GR PEDAS,Rp70.000,Kab. Bandung,4 terjual,5.0
178,Lemari Wanita,Mie Seblak Geprek SamiRaos Original | Seblak Mie Instat Pedas,Rp20.000,Jakarta Timur,12 terjual,5.0
179,kylafood,Kylafood Seblak Kwetiaw,Rp22.325,Bandung,4rb+ terjual,4.9
180,CUANKI CULAMETAN,pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,Rp32.999,Kab. Garut,80+ terjual,4.8
181,Jajanan Hits (JS),Seblak Tulang Rangu Nyai Mercon,Rp21.000,Tangerang Selatan,40+ terjual,5.0
182,TAM SNACK,Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,Rp14.000,Depok,100+ terjual,4.9
183,The Nut House,Kikoya Snack Sapi Panggang / Balado / BBQ / Rumput Laut / Seblak Sunda,Rp1.000,Surabaya,16 terjual,5.0
184,gaiagarut,siomay mini GURILEM EKONOMIS 1KG Toping Baso Aci Cuanki Seblak,Rp25.479,Kab. Garut,90+ terjual,4.9
185,afcbandung,Siomay Mini Kering 500gr Siaomay Kering Mini 500 gr Seblak Baso Aci,Rp19.900,Bandung,100+ terjual,4.8
186,ANUM SARI,Kerupuk Seblak Kencur Pedas Gurih - Anum Sari,Rp14.000,Tangerang Selatan,100+ terjual,4.7
187,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200gr LAPIS WARNA,Rp5.750,Kab. Bandung,16 terjual,5.0
188,3Key Frozen,Seblak Kylafood Rempah Autentik 115gr,Rp12.900,Tangerang,14 terjual,5.0
189,CuankiCulametan,siomay kering besar murah 50 pcs toping seblak baso aci cuanki,Rp16.555,Kab. Garut,100+ terjual,4.9
190,kylafood,Kylafood Seblak Rempah Autentik isi (20 pcs),Rp294.120,Bandung,11 terjual,5.0
191,Rak Sebelah,Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,Rp51.900,Jakarta Pusat,50+ terjual,4.8
192,TigoSadulur,paket murah seblak cuanki 12pcs,Rp43.999,Kab. Tangerang,8 terjual,5.0
193,Bandung_snack,Seblak Kerupuk Instan Mawar 500gram Pedas Daun Jeruk,Rp25.000,Kab. Bandung,15 terjual,5.0
194,CUANKI CULAMETAN,cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,Rp39.999,Kab. Garut,100+ terjual,4.8
195,Toko PutraPerdana,KERUPUK Merah Seblak 250gr [Repack],Rp6.250,Kab. Bekasi,25 terjual,4.8
196,ICIP ICIP SNACK BANDUNG,SEBLAK INSTANT PEDAS JERUK,Rp10.000,Bandung,30+ terjual,5.0
197,Culametan Food,cuanki lidah isi 50 topping baso aci dan seblak,Rp11.999,Kab. Garut,6 terjual,5.0
