,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
659,Maggi Damar,Populer Cuankie / Cuanki Lidah Standar Topping Baso Aci / Seblak ( 150,Rp78.340,Jakarta Barat,4 terjual,5.0
660,CUANKI CULAMETAN,cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,Rp12.500,Kab. Garut,500+ terjual,4.9
661,Yuliana Frozen,Kerupuk SEBLAK Bawang Bibir Mini/timbangan 1 kg,Rp21.000,Kab. Sidoarjo,100+ terjual,4.8
662,Seblak Mang Muss,SEBLAK INSTAN MANG MUSS - LEVEL 10,Rp13.999,Tasikmalaya,750+ terjual,4.9
663,Dapoer Nyingkur,Seblak Instan Garoet,Rp4.000,Kab. Garut,20 terjual,5.0
664,WarungSaputra,Siomay Mini Seblak 250g,Rp10.500,Bandung,60+ terjual,4.6
665,Sultan Meat Shop,Seblak Sultan instant,Rp14.000,Medan,250+ terjual,4.8
666,TOKO MBAH SIS,"KRUPUK SEBLAK BANTAT KENCUR 2,7kg 1 BAL ALMA.SNACK",Rp112.000,Jakarta Pusat,29 terjual,4.8
667,PT Picto Square,Grosir Kerupuk Merah Seblak 4.8Kg Krupuk,Rp144.667,Jakarta Pusat,,
668,CuankiCulametan,Cuanki lidah murah kiloan isi 150 toping seblak baso aci,Rp33.999,Kab. Garut,100+ terjual,4.9
669,Sylvia Store Studio,➣✷✮ kerupuk seblak seblak bantat pedas daun jeruk isi 500gram,Rp42.000,Jakarta Barat,,
670,freshshoopp,Kerupuk Seblak Kencur 1 Bal,Rp151.196,Jakarta Pusat,28 terjual,4.8
671,Almairastore1,cemilan kerupuk seblak pedas (-+250gr),Rp14.000,Bogor,2 terjual,5.0
672,grentii,GTI-902 KERUPUK SEBLAK MENTAH/ KRUPUK SEBLAK VIRAL/ KERUPUK MAWAR,Rp158.100,Jakarta Barat,2 terjual,5.0
673,lelemode,Krupuk Seblak Bantet Kencur Garing banget/Seblak Cikur/100 gr,Rp5.850,Jakarta Barat,5 terjual,4.7
674,adhean store,KRUPUK SEBLAK JABLAY KENCUR 25 KG,Rp189.000,Jakarta Selatan,,
675,Seblak Suki,seblak suki,Rp10.000,Jakarta Timur,1 terjual,
676,Keva store,Comring Seblak 200gr | Pedas | Makanan Ringan | Cemilan | Snack Renyah - Seblak Pedas,Rp19.000,Depok,100+ terjual,5.0
677,Foodstocks,Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,Rp18.900,Jakarta Selatan,60+ terjual,4.9
678,kira3arut,cuanki lidah asli garut isi 150 pcs,Rp32.500,Kab. Garut,10rb+ terjual,4.9
679,twispro,SEBLAK KRUPUK BAWANG KRUPUK JABLAY PEDAS EXTRA DAUN JERUK ISI 1KG,Rp97.000,Jakarta Selatan,,
680,Pusat Cuankie & Cemilan Frozen,KERUPUK MAMBO MERAH PUTIH/ KERUPUK BAWANG MAMBO 1KG TOPPING SEBLAK MEN,Rp65.000,Jakarta Timur,,
681,Rak Sebelah,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Jakarta Pusat,100+ terjual,4.9
682,src furta,COD !!! PAKET KOMPLIT! RABOKKI RAMYEON TTEOKBOKI SEBLAK BAKSO ACI,Rp195.000,Jakarta Pusat,,
683,athar--1,•Kerupuk Bawang Putih/Kerupuk Seblak•,Rp24.000,Jakarta Barat,,
684,kylafood,Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp47.840,Bandung,100+ terjual,4.8
685,athar--1,Kerupuk Mawar Mentah Seblak Rafael Isi220Pcs 1Kg Besar/Kecil Murah,Rp87.000,Jakarta Barat,,
686,dapishop.,KERUPUK SEBLAK Aneka Warna PEDAS ... HOT ( 1 Kg ) terbaru,Rp88.000,Jakarta Pusat,,
687,Summishoops,Terbaru Kerupuk Seblak Kencur Pedas 1Kg/Snack Kiloan Terlaris,Rp159.000,Jakarta Selatan,,
688,athar--1,Sebring (Seblak Kering) Jawara Kokinya Original *1 Kg,Rp134.000,Jakarta Barat,,
689,athar--1,Kerupuk / Krupuk Seblak Rasa Pedas 250 Gr / Seblak Kriting / Sebring /,Rp38.000,Jakarta Barat,,
690,athar--1,Kerupuk Seblak Mawar Rafael - Cikruh Daun Jeruk ( 1 Kg ),Rp152.000,Jakarta Barat,,
691,athar--1,Keripik Seblak Kaca Pedas Kecil 40G,Rp16.000,Jakarta Barat,,
692,kylafood,Kylafood Seblak Mie Baso,Rp26.125,Bandung,4rb+ terjual,4.9
693,Lemari Wanita,Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah,Rp18.500,Jakarta Timur,4 terjual,5.0
694,kylafood,Seblak Tulang Rawan k.y.l Kylafood (Spesial Panen Telur),Rp24.225,Bandung,50+ terjual,5.0
695,Summishoops,Terbaru Kerupuk Oren 5Kg Topping Seblak Terlaris,Rp229.000,Jakarta Selatan,,
696,athar--1,Seblak Gurih Pedas Asli Bandung,Rp18.000,Jakarta Barat,,
697,mBrebesmili,ciomy cuanki cheese,Rp25.000,Depok,250+ terjual,4.8
698,athar--1,[Bal] Kerupuk Krupuk Seblak Mentah Bawang Warna Kuning Putih Surya,Rp131.000,Jakarta Barat,,
699,Store Karua,TERBARU Kerupuk Seblak Mentah/ Krupuk Seblak Viral/ Kerupuk Mawar 5kg,Rp234.000,Jakarta Pusat,,
700,Culametan Food,cuanki lidah isi 50 topping baso aci dan seblak,Rp11.999,Kab. Garut,6 terjual,5.0
701,athar--1,Seblak Kering Bintang & Pelangi,Rp64.000,Jakarta Barat,,
702,athar--1,Kerupuk Seblak Mentah / Krupuk Kering / Keripik Aneka Kerupuk Angka 8,Rp49.000,Jakarta Barat,,
703,athar--1,Kerupuk Potato Warna Warni 1Kg/ Topping Seblak,Rp122.000,Jakarta Barat,,
704,athar--1,Seblak Bsm Angka 88 Rasa Pedas 1 Pak Isi 10 Pcs,Rp10.000,Jakarta Barat,,
705,Summishoops,Promo Kerupuk Seblak Kencur/Seblak Cikruh Rasa Pedas Berat 1 Kg,Rp158.000,Jakarta Selatan,,
706,Summishoops,Terbaru [Termurah] Viral !!!! Snack Renyah Gurih Kerupuk Seblak 250Gr,Rp152.000,Jakarta Selatan,,
707,gebet77,"Terbaru Paket 10 Pcs,5Pcs Cuanki 5Pcs Seblak Mie",Rp52.000,Jakarta Pusat,,
708,Muysproduct,seblak instan mie bakso om brewok,Rp16.000,Kab. Bogor,5 terjual,5.0
709,Pisang Goreng Madu Bu Nanik,Keripik Singkong Balado Christine Hakim,Rp36.000,Jakarta Barat,2rb+ terjual,4.9
710,Foodstocks,Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr,Rp25.800,Jakarta Selatan,1rb+ terjual,5.0
711,athar--1,(Gratis Bonus) Cemilan 1Kg Kerupuk Seblak Kencur,Rp103.000,Jakarta Barat,,
712,Gaming Store01,Snack/Cemilan/Makanan Kerupuk Seblak Kering Kencur Merek Putri Tunggal,Rp213.000,Tangerang Selatan,500+ terjual,4.7
713,Lakoca Official Shop,Lakoca Cuanki Instan Xtra Pedas - 3 Menit Siap Santap!,Rp16.618,Cimahi,500+ terjual,4.8
714,Pusat Cuankie & Cemilan Frozen,KERUPUK BAWANG WARNA WARNI RAINBOW 1KG TOPPING SEBLAK,Rp65.000,Jakarta Timur,,
715,Gegen Shopp,Kerupuk Tersanjung 5 Kg (Ball) Kerupuk Seblak / Kerupuk Mentah / Ker,Rp169.000,Jakarta Pusat,,
716,Kylafood Jakarta,Kylafood Basreng Pedas,Rp14.000,Jakarta Selatan,250+ terjual,5.0
717,husstreas,Ready Stock Seblak Siomay Extra Pedas Dan Original Renyah Gurih Aroma,Rp19.000,Jakarta Pusat,5 terjual,4.3
718,gaiagarut,Kerupuk Jaring 500g Bahan Seblak by GG (Bisa COD/Grosir/Kargo),Rp12.499,Kab. Garut,2 terjual,5.0
719,Summishoops,Terbaru Seblak Kerupuk Pedo Kering / Seblak Kerupuk Rafael 1Kg,Rp183.000,Jakarta Selatan,,
720,tikkashop7,BARANG TERLARIS !!! Kerupuk Seblak Mentah/ Krupuk Seblak Viral/,Rp167.000,Jakarta Pusat,14 terjual,5.0
721,varisa_shop,Kerupuk Seblak Jeruk,Rp23.000,Jakarta Pusat,,
722,Jajanan Cikruh_,Seblak Cikruh 70 gr,Rp5.000,Jakarta Barat,2 terjual,5.0
723,athar--1,Seblak Kerupuk Beton Pedas Gurih 100Gram,Rp28.000,Jakarta Barat,,
724,Lidigeli,Gelichips Seblak Kering Gurih isi 260gram - Combo Seblak Kering 4pcs,Rp50.000,Kab. Garut,30+ terjual,5.0
725,CuankiCulametan,cuanki tahu pasung murah isi 10 pcs toping seblak boci mie bakso,Rp5.000,Kab. Garut,60+ terjual,4.9
726,Seblak Mang Muss,BASRENG SEBLAK MANG MUSS,Rp10.999,Tasikmalaya,250+ terjual,4.9
727,athar--1,Seblak Kerupuk Kerang Harmis Pedas Daun Jeruk,Rp47.000,Jakarta Barat,1 terjual,
728,Aqilah_0lshop,milan food bandung makaroni marapi 110gr seblak,Rp15.000,Jakarta Barat,4 terjual,
729,Nion.Nion_Official,"Kerupuk Seblak Pedas 100 Gram, Kerupuk Seblak Daun Jeruk Gurih Renyah - Original Brebes",Rp22.688,Tangerang Selatan,28 terjual,4.3
730,Zaki Idris Trendy,Kualitas Terjamin Bakso Baso Aci Isi Ayam Enak Rasa Seblak,Rp30.720,Jakarta Pusat,30+ terjual,5.0
731,ICALAY SHOP,Seblak Kerupuk Pedo Kering / Seblak Kerupuk Rafael 1Kg Original,Rp134.000,Jakarta Selatan,250+ terjual,4.8
732,Raffa_Snack21,seblak kerupuk bantet pedas 250gram - kerupuk bantet seblak pedas,Rp16.000,Kab. Garut,5 terjual,5.0
733,Seblak Cilookba,Seblak Cilookba Mozarella,Rp21.000,Kab. Bandung Barat,6 terjual,5.0
734,MelaBoci,Keripik Sebling seblak kering khas garut bikin kriting 55gr,Rp5.000,Surabaya,14 terjual,5.0
735,EPIIN STORE,PAKET KEMITRAAN SEBLAK EPIIN,Rp3.500.000,Jakarta Selatan,,
736,Gasbelisnack,Kerupuk bunga mawar putih viral seblak aa rafael 1 bal/ball 5 kg,Rp168.000,Jakarta Pusat,,
737,cookiecake,CEMILAN BOX 250 GRAM BASRENG KERUPUK SEBLAK GULUNG MAKARONI SPIRAL,Rp52.200,Jakarta Barat,,
738,mak_cudot,kerupuk seblak kering pedas daun jeruk 1kg 500gr kiloan,Rp60.000,Jakarta Utara,2 terjual,5.0
739,freshshoopp,Kerupuk Oren 5Kg Topping Baso Aci / Seblak,Rp147.280,Jakarta Pusat,1 terjual,
740,kylafood, Kylafood Paket 4 Seblak Original 1 Batagor,Rp99.615,Bandung,1rb+ terjual,4.9
741,kylafood,Kylafood Seblak Original Isi 10 pcs,Rp187.050,Bandung,25 terjual,4.7
742,Kaya Halal Market,"Seblak Instan, Praktis, Komplit Khas Sunda by Kang Idin",Rp22.100,Jakarta Selatan,30+ terjual,4.8
743,bigsky petshop,kerupuk seblak mantoell mantoeel berhadiah uang/emas,Rp16.000,Jakarta Barat,2 terjual,5.0
744,Gegen Shopp,Batagor Kering Cuanki Tahu Topping Baso Aci Dan Seblak Isi 500 Pcs,Rp190.000,Jakarta Pusat,,
745,kylafood,Kylafood Paket Batagor dan Toping Pilus,Rp35.235,Bandung,1rb+ terjual,4.9
746,Gegen Shopp,Camilan Kerupuk Seblak / Seblak Kencur Makanan Pedas Isi 10 Kg,Rp577.000,Jakarta Pusat,30+ terjual,5.0
747,mak_cudot,keripik seblak pedas sebring,Rp4.855,Jakarta Utara,1 terjual,
748,kylafood,Kylafood Batagor Kuah Play,Rp27.075,Bandung,1rb+ terjual,4.9
749,Oleh2 Maju Mulya Solo,Seblak Kering Pedas 150gr Seblak instan Bandung Kerupuk Seblak Kering,Rp11.000,Kab. Sukoharjo,28 terjual,4.9
750,FoodShop35,ready Kylafood paket Paket 2 Seblak cup + 4 Seblak Rempah autentik,Rp92.500,Bandung,70+ terjual,5.0
751,Puas Belanja Store,Seblak Kering Kerupuk Bawang Extra Daun Jeruk 100gr Sebring Pedas Asin,Rp7.500,Jakarta Barat,2 terjual,4.9
752,milkaila shop,Paket isi 5 Seblak Rempah Autentik,Rp82.600,Jakarta Barat,250+ terjual,4.9
753,Romario Markett,TERLARIS PAKET SEBLAK MIE 5 DAN BASO ACI 5PCS,Rp100.500,Jakarta Utara,10 terjual,5.0
754,Serenalsnack,Kerupuk Seblak Krenyes SERENAL SNACK & FOOD,Rp10.000,Kab. Tangerang,30+ terjual,5.0
755,adhean store,KERUPUK SEBLAK MAWAR VIRAL 1 KG MENTAH KERUPUK SEBLAK MAMANG RAFAEL,Rp58.000,Jakarta Selatan,40+ terjual,4.9
756,Gerai Snack Official Shop,Soun Seblak Geprek SAMI RAOS Khas Garut,Rp19.700,Kab. Tangerang,80+ terjual,4.8
757,The Little Snacks,Basreng Sangarrr,Rp19.900,Tangerang Selatan,750+ terjual,4.7
758,Gerai Snack Official Shop,Basreng Pinggsnack,Rp16.700,Kab. Tangerang,500+ terjual,4.8
759,WarungSaputra,Siomay Mini Seblak 150g,Rp7.560,Bandung,30+ terjual,4.9
760,renga_store,AD1 1KG Seblak Kering RAFAEL krupuk mawar pedas daun jeruk,Rp45.000,Surabaya,1 terjual,5.0
761,Baso Aci Sayang,bumbu baso aci Bumbu Seblak Komplit ,Rp5.500,Tangerang,50+ terjual,5.0
762,TOKOKUEALFATIH,"krupuk seblak jablay cikur grosir 2,5 kg",Rp80.000,Jakarta Timur,5 terjual,4.0
763,bakoelbedil,Seblak Kerupuk Mie Pedas Mampus Super / Nikmat / Nagih / BakoelBedil,Rp18.000,Jakarta Barat,4 terjual,
764,JSW Foods,Kerupuk Seblak Rafael 100 gr,Rp5.500,Kab. Bandung,2 terjual,5.0
765,Leni Pecel,BELI 10 gratis 1 Seblak boboko (200 gr) lv 13 20 snack pedas kekinian,Rp62.600,Jakarta Barat,6 terjual,5.0
766,greencan,KERUPUK SEBLAK BETON BANTAT PEDES GURIH DAUN JERUK 250GRAM,Rp30.000,Jakarta Barat,100+ terjual,4.8
767,AIRA O'SHOP,200gr Seblak Kering Pedas Jeruk by Ratu Kriuk,Rp13.000,Tasikmalaya,250+ terjual,4.9
768,PT Sakinah Cemerlang,Paket isi 5 Seblak Rempah Autentik,Rp83.000,Jakarta Barat,40+ terjual,
769,uus shop 02,kerupuk seblak kencur/ kerupuk bantet 200gr,Rp10.999,Surabaya,4 terjual,4.5
770,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
771,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
772,Dagangan Qu,Seblak Teh Bunga,Rp13.000,Jakarta Barat,30+ terjual,5.0
773,fasyaa_id,Kyalafood Paket Komplit 5pcs Seblak batagor Makanan kekinian Enak,Rp114.500,Bandung,3 terjual,5.0
774,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
775,seblakumiofficial,kerupuk seblak umi keriting 150 gram,Rp17.000,Bandung,18 terjual,5.0
776,Arkadewi11,[TERMURAH] kerupuk jablay kerupuk bawang seblak pedas daun jeruk 250gr,Rp17.000,Jakarta Selatan,2 terjual,5.0
777,Kylafood Jakarta,Seblak Rempah Autentik isi 5 pcs,Rp68.000,Jakarta Selatan,90+ terjual,4.9
778,vinzakha,Kerupuk Seblak Ori,Rp25.000,Bandung,4 terjual,5.0
779,FAYEL_AE,kerupuk Seblak Pedas Kering 50gr,Rp19.500,Madiun,2 terjual,5.0
780,"Rumah Seblak, Bandung",Seblak instan tulang rangu&siomay mini gurih pedas,Rp26.000,Kab. Bekasi,7 terjual,5.0
781,Ayalifrozen,seblak instant komplit,Rp11.671,Tangerang Selatan,8 terjual,5.0
782,Aisyah_Azza,"Kerupuk bawang, seblak, kerupuk warna warni, gurih, mentah / 250gr",Rp10.000,Surabaya,8 terjual,5.0
783,Grosir Besar Kalimantan,TERMURAH ISI BANYAK 100GR KRUPUK SEBLAK/KRUPUK SEBLAK PEDAS,Rp8.000,Banjarbaru,7 terjual,5.0
784,segilapan,Seblak NENE Instan - PEDAS GURIH MANTAP,Rp15.000,Jakarta Barat,13 terjual,5.0
785,oke snack,cemilan SEBLAK KARI PEDAS 65gr,Rp4.500,Jakarta Selatan,250+ terjual,4.8
786,Yuliana Frozen,Kerupuk SEBLAK Bawang Bibir Mini/timbangan 1 kg,Rp21.000,Kab. Sidoarjo,100+ terjual,4.8
787,Seblak Mang Muss,SEBLAK INSTAN MANG MUSS - LEVEL 10,Rp13.999,Tasikmalaya,750+ terjual,4.9
788,Pusat Cuankie & Cemilan Frozen,KERUPUK KONDE 5KG TOPPING SEBLAK,Rp110.000,Jakarta Timur,5 terjual,5.0
789,alif leather 10,"seblak instan,seblak kuah",Rp6.000,Kab. Garut,17 terjual,5.0
790,CUANKI BAKSO ACI DPS,SEBLAK INSTAN BANDUNG | HALAL,Rp16.000,Denpasar,250+ terjual,4.9
791,varisa_shop,Siomay Mini Kering 500gr Renyah Gurih TOPING Seblak Baso Aci CUANKI,Rp28.000,Jakarta Pusat,24 terjual,4.0
792,Pusat Grosir Cuanki,Kerupuk Seblak Oranye (1 Kg) - Kerupuk Kemplang Matahari Pagi,Rp16.000,Kab. Bandung,2 terjual,4.8
793,CuankiCulametan,Cuanki lidah murah kiloan isi 150 toping seblak baso aci,Rp33.999,Kab. Garut,100+ terjual,4.9
794,Ra.isyah Store,seblak original,Rp25.000,Jakarta Timur,1 terjual,4.9
795,Gerald65,Good KRUPUK SEBLAK CIKRUH,Rp9.000,Surabaya,,
796,Dayanna's office,Crackerz kerupuk seblak putih 5kg,Rp145.000,Jakarta Timur,,
797,alamsanstore,MILIKI PILUS CIKUR BRJ SNACK (SEBLAK TEH BETTY) TERMURAH,Rp37.000,Jakarta Pusat,30+ terjual,5.0
798,RIKI STORE 97,Kerupuk seblak pedas extra 250 gram,Rp16.200,Kab. Bogor,1 terjual,
799,G Cakery,SIOMAY MINI KERING SEBLAK TERLARIS - 500 GR,Rp31.890,Jakarta Pusat,14 terjual,5.0
800,putri raja ngemil,seblak as beton kerupuk pedas isi 250gr viral tik tok,Rp8.999,Kab. Bandung,8 terjual,5.0
801,Keva store,Comring Seblak 200gr | Pedas | Makanan Ringan | Cemilan | Snack Renyah - Seblak Pedas,Rp19.000,Depok,100+ terjual,5.0
802,Foodstocks,Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,Rp18.900,Jakarta Selatan,60+ terjual,4.9
803,kira3arut,cuanki lidah asli garut isi 150 pcs,Rp32.500,Kab. Garut,10rb+ terjual,4.9
804,laleurlanang,Cemilan (1KG) SEBLAK KERING BULAT BANTET DAUN JERUK MEGA SNACK,Rp35.999,Bekasi,5 terjual,5.0
805,Suncity.,Seblak Instan komplit,Rp8.499,Kab. Tangerang,250+ terjual,4.8
806,Rak Sebelah,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Jakarta Pusat,100+ terjual,4.9
807,RIKI STORE 97,Sabring seblak pedasnya Asli 200 gram,Rp14.000,Kab. Bogor,1 terjual,4.8
808,Dayanna's office,Crackerz kerupuk seblak udang merah 5kg,Rp146.000,Jakarta Timur,5 terjual,5.0
809,kylafood,Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp47.840,Bandung,100+ terjual,4.8
810,IbuAbangKitchen,Seblak Komplit Instan Ibu Abang Kitchens,Rp6.000,Jakarta Timur,1 terjual,5.0
811,RIKI STORE 97,Kerupuk seblak rasa pedas 250 gram,Rp17.000,Kab. Bogor,1 terjual,5.0
812,Join Snack,Seblak Keong/ seblak/ cemilan/ cemilan enak/ snack/ snack bandung/ ole,Rp10.000,Bandung,100+ terjual,4.9
813,ysusbabsj,Spanduk Seblak Prasmanan/Banner Warung Seblak/Seblak Prasmanan 2X1,Rp98.000,Jakarta Pusat,9 terjual,4.8
814,Dayanna's office,Crackerz KERUPUK BAWANG IRIS OREN SEBLAK / BUBUR MERK DUA ARWANA 1 BAL,Rp163.000,Jakarta Timur,90+ terjual,5.0
815,Sakalibel,Seblak Cilookba Suki,Rp22.000,Jakarta Timur,1 terjual,5.0
816,laleurlanang,Cemilan 1KG SEBLAK KERING BULAT BANTET DAUN JERUK COD,Rp32.999,Bekasi,,
817,kylafood,Kylafood Seblak Mie Baso,Rp26.125,Bandung,4rb+ terjual,4.9
818,Lemari Wanita,Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah,Rp18.500,Jakarta Timur,4 terjual,5.0
819,kylafood,Seblak Tulang Rawan k.y.l Kylafood (Spesial Panen Telur),Rp24.225,Bandung,50+ terjual,5.0
820,laleurlanang,Seblak kering kerupuk jablay kerupuk bawang isi (500gram) MEGA SNACK,Rp19.700,Bekasi,90+ terjual,
821,dapurnonah,Kerupuk Bawang Seblak - Kerupuk Bawang - Seblak - Snack - Kerupuk,Rp15.900,Jakarta Barat,2 terjual,5.0
822,mBrebesmili,ciomy cuanki cheese,Rp25.000,Depok,250+ terjual,4.8
823,Vanille18,seblak jedool,Rp9.998,Kab. Sidoarjo,1 terjual,4.0
824,Kristy,CUANKI LIDAH UNTUK BASO ACI CAMILAN KERUPUK SEBLAK ISI 50 PCS,Rp15.000,Kab. Sidoarjo,2 terjual,5.0
825,Culametan Food,cuanki lidah isi 50 topping baso aci dan seblak,Rp11.999,Kab. Garut,6 terjual,5.0
826,pasarbadung,Krupuk Seblak Kencur Pedes 250 gr,Rp21.000,Denpasar,28 terjual,4.9
827,The Black Forest,Seblak Teman Mancing,Rp20.000,Tangerang,100+ terjual,4.5
828,azkhalifa store,"SEBLAK KERING JANDA ORI,SELOW,NYEBRET",Rp10.500,Depok,30+ terjual,5.0
829,sang rasa,krupuk taro jumbo buat seblak 500 gr,Rp15.000,Tangerang,1 terjual,5.0
830,warungnayla1,Kerupuk Mentah kemasan 250gr |Kerupuk Seblak |Kerupuk Oren,Rp4.490,Tasikmalaya,3 terjual,5.0
831,RIKI STORE 97,SEBLAK INSTANS SPESIAL JUMBO,Rp16.000,Kab. Bogor,2 terjual,5.0
832,Haswara Frozen,Seblak Asli Bandung,Rp18.000,Jakarta Selatan,2 terjual,5.0
833,Muysproduct,seblak instan mie bakso om brewok,Rp16.000,Kab. Bogor,5 terjual,5.0
834,Pisang Goreng Madu Bu Nanik,Keripik Singkong Balado Christine Hakim,Rp36.000,Jakarta Barat,2rb+ terjual,4.9
835,Foodstocks,Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr,Rp25.800,Jakarta Selatan,1rb+ terjual,5.0
836,mete shop55,MURAH Krupuk Seblak Mentah Aneka Varian Kemasan 250 Gram,Rp62.000,Malang,2 terjual,
837,DVA fashion and beauty,Seblak Bacitul Bakso Aci Tulang Rangu Kuah Seblak Jajanan Homifood,Rp2.000,Bandung,10 terjual,5.0
838,Lakoca Official Shop,Lakoca Cuanki Instan Xtra Pedas - 3 Menit Siap Santap!,Rp16.618,Cimahi,500+ terjual,4.8
839,lahawelah,"KHUSUS GROSIRAN - TAHU cuanki isi 500pcs Toping Baso Aci, Seblak",Rp140.000,Kab. Garut,4 terjual,5.0
840,GOLD POWER,Kylafood Special Paket 4 Seblak Cup + 1 Basreng Pedas + 1 Seblak,Rp121.000,Bekasi,7 terjual,5.0
841,kylafood,Kylafood Basreng Pedas 1000g,Rp127.880,Bandung,100+ terjual,5.0
842,Verysimple,Seblak Koin Warna Odjolali Snack,Rp12.000,Bandung,23 terjual,5.0
843,Febrina Calysta12,Basreng keripik maici biasa basreng level 10 100 gr seblak 80 gr,Rp74.000,Kab. Sidoarjo,2 terjual,5.0
844,Riskarose Shop,SEBLAK KERUPUK WARNA PEDAS / SEBRING KERUPUK PEDAS,Rp5.500,Kab. Bandung,30+ terjual,4.9
845,baso aci zahra,SEBLAK JUMBO ZAHRA,Rp5.800,Kab. Bandung,40+ terjual,4.8
846,RIKI STORE 97,kerupuk seblak bantet pedas 500 gram Terlaris,Rp30.000,Kab. Bogor,4 terjual,5.0
847,intisukses,seblak original ainiya snack,Rp8.700,Surabaya,,
848,Talitha_snack,Kerupuk Gurilem Mangkok/Seblak kemasan besar 1 kg,Rp65.000,Kab. Bandung Barat,3 terjual,5.0
849,Lakoca Official Shop,Latagor Batagor Instan Original - Tinggal Seduh 3 Menit Langsung Siap!,Rp16.618,Cimahi,750+ terjual,4.8
850,Ny Entin Foods,SEBLAKKU Pedas Gurih by Ny. Entin,Rp14.800,Bandung,250+ terjual,4.8
851,Lidigeli,Seblak Kering Gurih 65gram - CUCIGDG-SEBRING,Rp10.965,Kab. Garut,100+ terjual,5.0
852,aberlafoodbdg,PILUS CIKUR BANDUNG / TOPPING SEBLAK DAN BASO ACI 250gram,Rp15.000,Bandung,22 terjual,5.0
853,Toko Rooswiti,seblak instant komplit,Rp13.000,Jakarta Selatan,1 terjual,
854,Gerai Snack Official Shop,Soun Seblak Geprek SAMI RAOS Khas Garut,Rp19.700,Kab. Tangerang,80+ terjual,4.8
855,Pempek Emak Indah,COMBO HALU! 6PC SEBLAK MIE HALU - EMAK INDAH FOOD,Rp118.800,Jakarta Barat,28 terjual,5.0
856,KripcAntik_,krupuk seblak daun jeruk pedas 1/4Kg,Rp18.000,Cirebon,5 terjual,5.0
857,Bintang Snack & Camilan,Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr - 250 gr,Rp18.500,Semarang,22 terjual,5.0
858,Warung TAMSIL,Cuankie Lidah - Ekstra toping baso aci- bahan seblak - cemilan,Rp8.000,Kab. Garut,18 terjual,5.0
859,TokoTemenMakan,Seblak cilok,Rp8.499,Kab. Bandung,40+ terjual,5.0
860,pramuditama,Kripik Pedas Molreng Seblak Pedas,Rp30.000,Malang,1 terjual,
861,bowskie store,kripik seblak pedas gurih renyah enak,Rp22.500,Bandung,8 terjual,4.8
862,Bima CCTV,Promo Murah Kerupuk Seblak 150g,Rp10.417,Kab. Sleman,7 terjual,5.0
863,Usaha Djaya Mandiri,Seblak juara instan / seblak khas bandung,Rp22.500,Bandung,3 terjual,4.6
864,RIKI STORE 97,Seblak instan Pedas Extra khas bogor Terlaris,Rp16.000,Kab. Bogor,5 terjual,5.0
865,kylafood, Kylafood Paket 4 Seblak Original 1 Batagor,Rp99.615,Bandung,1rb+ terjual,4.9
866,kylafood,Kylafood Seblak Original Isi 10 pcs,Rp187.050,Bandung,25 terjual,4.7
867,Rak Sebelah,Bundle 3pcs - Basranger Bakso Goreng Basreng Original Extra Pedas,Rp50.000,Jakarta Pusat,30+ terjual,4.9
868,argaaa,Muria Seblak Stik Cabe Merah 60 gram,Rp8.900,Jakarta Selatan,1 terjual,5.0
869,Snack VJ,seblak kerupuk kering pedas sedang,Rp15.000,Jakarta Pusat,1 terjual,5.0
870,Muysproduct,seblak instan mie original om brewok,Rp14.000,Kab. Bogor,5 terjual,5.0
871,lahawelah,"GROSIRAN - TAHU cuanki isi 1000pcs Toping Baso Aci, Seblak",Rp260.000,Kab. Garut,13 terjual,4.7
872,Toko_Ikan_ Asin_SAY,Kerupuk Seblak Gioktin / Kerupuk Mawar Viral 500gr (REPACKED),Rp15.000,Kab. Bogor,1 terjual,5.0
873,CUANKI CULAMETAN,Baso Aci Instan Culametan khas Garut ( isi 6 ),Rp4.500,Kab. Garut,3rb+ terjual,4.8
874,Zahira Official 01,Kerupuk Seblak Kering Pedas Krupuk Seblak Bumbu Kencur 250 gram,Rp15.800,Kab. Kebumen,25 terjual,4.9
